Entidad,Municipio,Subdelegacion,Clues,Tipo,Nombre,Nivel,Situacion,Latitud,Longitud,Tipo Vialidad,Vialidad,Numero,Tipo Asentamiento,Asentamiento,CP,Direccion Completa,Nombre Completo
Veracruz,Zongolica,Veracruz,VZIST000313,Unidad de Medicina Familiar,Zongolica,Primer Nivel,Propia,18.6659,-96.9963,Calle,Ignacio Manuel Altamirano,S/N,Colonia,Centro,95000,"Calle Ignacio Manuel Altamirano S/N, Colonia Centro, Zongolica, Veracruz, CP. 95000",UMF Zongolica
Veracruz,Tuxpan,Veracruz,VZIST000296,Clinica Hospital,Tuxpan,Segundo Nivel,Propia,20.9529,-97.4173,Calle,5 de Mayo,S/N,Colonia,Zapote,92860,"Calle 5 de Mayo S/N, Colonia Zapote, Tuxpan, Veracruz, CP. 92860",CH Tuxpan
Veracruz,Tamiahua,Veracruz,VZIST000716,Consultorio de Atención Familiar,Tamiahua,Primer Nivel,Subrogada,21.2743,-97.4465,Calle,Allende,S/N,Colonia,Zona Sur,92560,"Calle Allende S/N, Colonia Zona Sur, Tamiahua, Veracruz, CP. 92560",CAF Tamiahua
Veracruz,Tuxpan,Veracruz,VZIST000774,Consultorio de Atención Familiar,UH. FOVISSSTE No. 1 Tuxpan,Primer Nivel,Convenio,20.9496,-97.3859,Calle,Andador Framboyan,LOCAL 1,Unidad Habitacional,FOVISSSTE,92870,"Calle Andador Framboyan LOCAL 1, Unidad Habitacional FOVISSSTE, Tuxpan, Veracruz, CP. 92870",CAF UH. FOVISSSTE No. 1 Tuxpan
Veracruz,Tantoyuca,Veracruz,VZIST000255,Unidad de Medicina Familiar,Tantoyuca,Primer Nivel,Propia,21.3531,-98.2211,Calle,Francisco Javier Clavijero,S/N,Colonia,Ruiz Cortines,92123,"Calle Francisco Javier Clavijero S/N, Colonia Ruiz Cortines, Tantoyuca, Veracruz, CP. 92123",UMF Tantoyuca
Veracruz,Benito Juárez,Veracruz,VZIST000366,Consultorio de Atención Familiar,Benito Juárez,Primer Nivel,Subrogada,20.8872,-98.2064,Calle,Ignacio Zaragoza,S/N,Colonia,Benito Juarez,92660,"Calle Ignacio Zaragoza S/N, Colonia Benito Juarez, Benito Juárez, Veracruz, CP. 92660",CAF Benito Juárez
Veracruz,Chicontepec,Veracruz,VZIST000091,Unidad de Medicina Familiar,Chicontepec de Tejeda,Primer Nivel,Propia,20.9692,-98.1876,Calle,Constitucion,S/N,Colonia,Chicotepec,92700,"Calle Constitucion S/N, Colonia Chicotepec, Chicontepec, Veracruz, CP. 92700",UMF Chicontepec de Tejeda
Veracruz,Platón Sánchez,Veracruz,VZIST000675,Consultorio de Atención Familiar,Platón Sánchez,Primer Nivel,Subrogada,21.2691,-98.3717,Calle,Doctor Medina,S/N,Colonia,El Llano,92147,"Calle Doctor Medina S/N, Colonia El Llano, Platón Sánchez, Veracruz, CP. 92147",CAF Platón Sánchez
Veracruz,Tempoal,Veracruz,VZIST000721,Consultorio de Atención Familiar,Tempoal de Sánchez,Primer Nivel,Subrogada,21.5203,-98.3924,Calle,Libertad ,S/N,Colonia,La Brisa,92063,"Calle Libertad  S/N, Colonia La Brisa, Tempoal, Veracruz, CP. 92063",CAF Tempoal de Sánchez
Veracruz,Cerro Azul,Veracruz,VZIST000045,Unidad de Medicina Familiar,Cerro Azul,Primer Nivel,Propia,21.1977,-97.7355,Calle,Amado Nervo,S/N,Colonia,Lázaro Cárdenas,92513,"Calle Amado Nervo S/N, Colonia Lázaro Cárdenas, Cerro Azul, Veracruz, CP. 92513",UMF Cerro Azul
Veracruz,Naranjos Amatlán,Veracruz,VZIST000864,Unidad de Medicina Familiar,Naranjos,Primer Nivel,Propia,21.3482,-97.6942,Avenida,Cervantes,S/N,Pueblo,Mariano Escobedo,92360,"Avenida Cervantes S/N, Pueblo Mariano Escobedo, Naranjos Amatlán, Veracruz, CP. 92360",UMF Naranjos
Veracruz,Ozuluama de Mascareñas,Veracruz,VZIST000646,Consultorio de Atención Familiar,Ozuluama,Primer Nivel,Subrogada,21.6611,-97.8505,Calle,Desiderio Pavon,S/N,Colonia,Centro,92080,"Calle Desiderio Pavon S/N, Colonia Centro, Ozuluama de Mascareñas, Veracruz, CP. 92080",CAF Ozuluama
Veracruz,Pánuco,Veracruz,VZIST000185,Unidad de Medicina Familiar,Pánuco,Primer Nivel,Propia,22.049,-98.1898,Calle,18 de Marzo Esq. Boulevard Slavador Diaz Miron,S/N,Colonia,Adolfo Lopéz Mateos,93995,"Calle 18 de Marzo Esq. Boulevard Slavador Diaz Miron S/N, Colonia Adolfo Lopéz Mateos, Pánuco, Veracruz, CP. 93995",UMF Pánuco
Veracruz,El Higo,Veracruz,VZIST000844,Consultorio de Atención Familiar,El Higo,Primer Nivel,Subrogada,21.7677,-98.4551,Calle,La Rivera,S/N,Colonia,El Higo,92400,"Calle La Rivera S/N, Colonia El Higo, El Higo, Veracruz, CP. 92400",CAF El Higo
